,type,department,semester,section,gender,age,height,weight,bmi,bmi_type,fav_sport,act_level,meals,sleep,current_btype,goal,actual_current_btype,goal_suggested
0,Student,CSE,6th,A,Male,21,1.8288,68,20.331830787118363,healthy,Gym,high moderate,5,6,fit,Get FIT,fit,Get FIT
1,Faculty,CSE,,NONE,Male,36,1.7526,71,23.114938059323716,healthy,Football,low,2,5,fit,Get FIT,fit,Get FIT
2,Student,CSE,6th,NONE,Male,25,1.8034,52,15.98892307088324,underweight,Volleyball,low,4,6,skinny,Gain-weight,weak,Gain-weight
3,Student,CSE,6th,A,Male,21,1.8034,60,18.44875738948066,healthy,Cricket,moderate,3,6,skinny,Gain-weight,skinny,Get FIT
4,Student,CSE,6th,NONE,Female,20,1.5748,30,12.096798387145162,underweight,Racing,moderate,3,7,fit,Get FIT,weak,Gain-weight
5,Student,CSE,6th,B,Male,22,1.6256,62,23.461960986421975,healthy,Cricket,moderate,3,7,fit,Get FIT,fit,Get FIT
6,Student,CSE,6th,A,Male,20,1.6256,50,18.920936279372558,healthy,None,low,5,8,weak,Gain-weight,skinny,Get FIT
7,Student,CSE,6th,A,Male,22,1.7018,90,31.076025618302072,obese,Cricket,low,3,6,fat,Lose-Weight,fat,Lose-Weight
8,Student,CSE,6th,B,Male,20,1.6764,48,17.07992396701047,underweight,Football,low,3,8,skinny,Gain-weight,weak,Gain-weight
9,Student,CSE,6th,B,Male,21,1.778,65,20.56126561232714,healthy,Cricket,low,3,7,skinny,Gain-weight,fit,Get FIT
10,Faculty,ECE,,NONE,Female,35,1.5748,65,26.209729838814518,over-weight,Badminton,low,3,7,fit but also fat,Lose-Weight,fit but also fat,Lose-Weight
11,Student,CSE,6th,A,Male,22,1.905,62,17.08447861340167,underweight,Basketball,low,2,8,weak,Gain-weight,weak,Gain-weight
12,Student,CSE,6th,B,Female,20,1.6256,60,22.705123535247072,healthy,Volleyball,moderate,3,8,fit but also fat,Lose-Weight,fit,Get FIT
13,Student,ECE,8th,NONE,Male,21,1.7526,70,22.789375551445914,healthy,Cricket,high moderate,3,7,fit,Gain-weight,fit,Get FIT
14,Student,ECE,6th,NONE,Female,20,1.5494,48,19.99466509010954,healthy,Table Tennis ,moderate,2,8,fit,Get FIT,skinny,Get FIT
15,Student,ECE,6th,NONE,Female,20,1.3716,48,25.514454321089715,over-weight,Cricket,moderate,3,8,fit but also fat,Lose-Weight,fit but also fat,Lose-Weight
16,Student,ECE,6th,NONE,Male,20,1.524,42,18.083369500072333,healthy,Gym,high moderate,3,8,fit,Gain-weight,skinny,Get FIT
17,Student,ECE,6th,NONE,Female,20,1.6256,50,18.920936279372558,healthy,Gym,very high,3,8,fit,Get FIT,skinny,Get FIT
18,Student,ECE,6th,NONE,Female,18,1.6256,49,18.542517553785107,healthy,Football,moderate,3,7,fit but also fat,Get FIT,skinny,Get FIT
19,Student,ECE,4th,NONE,Male,19,1.905,80,22.04448853342151,healthy,Volleyball,high moderate,3,8,fit,Get FIT,fit,Get FIT
20,Student,ECE,4th,NONE,Male,18,1.6764,52,18.503250964261344,healthy,Cricket,high moderate,3,7,skinny,Gain-weight,skinny,Get FIT
21,Student,ECE,6th,NONE,Female,21,1.5748,40,16.129064516193548,underweight,Gym,low,3,7,weak,Gain-weight,weak,Gain-weight
22,Student,ECE,4th,NONE,Male,19,1.8542,70,20.36033345851642,healthy,Basketball,high moderate,3,7,fit but also fat,Get FIT,fit,Get FIT
23,Faculty,CSE,,NONE,Female,36,1.6256,70,26.489310791121582,over-weight,Badminton,low,2,7,fit but also fat,Lose-Weight,fit but also fat,Lose-Weight
24,Faculty,ECE,,NONE,Female,39,1.651,69,25.31366009477581,over-weight,Cricket,low,3,6,fit but also fat,Get FIT,fit but also fat,Lose-Weight
